id,postal_cd,country_cd,city_name,state,lat,lng,loc
35958,84134,US,Salt Lake City,UT,40.7606000000,-111.8903000000,US-UT-Salt Lake City-84134
35959,84136,US,Salt Lake City,UT,40.7606000000,-111.8903000000,US-UT-Salt Lake City-84136
35960,84138,US,Salt Lake City,UT,40.7689000000,-111.8867000000,US-UT-Salt Lake City-84138
35961,84139,US,Salt Lake City,UT,40.7606000000,-111.8903000000,US-UT-Salt Lake City-84139
35962,84141,US,Salt Lake City,UT,40.7606000000,-111.8903000000,US-UT-Salt Lake City-84141
35963,84143,US,Salt Lake City,UT,40.7606000000,-111.8903000000,US-UT-Salt Lake City-84143
35964,84145,US,Salt Lake City,UT,40.7606000000,-111.8903000000,US-UT-Salt Lake City-84145
35965,84147,US,Salt Lake City,UT,40.7606000000,-111.8903000000,US-UT-Salt Lake City-84147
35966,84148,US,Salt Lake City,UT,40.7606000000,-111.8903000000,US-UT-Salt Lake City-84148
35967,84150,US,Salt Lake City,UT,40.7606000000,-111.8903000000,US-UT-Salt Lake City-84150
35968,84151,US,Salt Lake City,UT,40.7606000000,-111.8903000000,US-UT-Salt Lake City-84151
35969,84152,US,Salt Lake City,UT,40.7165000000,-111.6864000000,US-UT-Salt Lake City-84152
35970,84157,US,Salt Lake City,UT,40.6666000000,-111.8875000000,US-UT-Salt Lake City-84157
35971,84158,US,Salt Lake City,UT,40.7606000000,-111.8903000000,US-UT-Salt Lake City-84158
35972,84165,US,Salt Lake City,UT,40.7606000000,-111.8903000000,US-UT-Salt Lake City-84165
35973,84170,US,Salt Lake City,UT,40.7606000000,-111.8903000000,US-UT-Salt Lake City-84170
35974,84171,US,Salt Lake City,UT,40.7606000000,-111.8903000000,US-UT-Salt Lake City-84171
35975,84180,US,Salt Lake City,UT,40.7701450000,-111.9007200000,US-UT-Salt Lake City-84180
35976,84184,US,Salt Lake City,UT,40.7606000000,-111.8903000000,US-UT-Salt Lake City-84184
35977,84189,US,Salt Lake City,UT,40.7606000000,-111.8903000000,US-UT-Salt Lake City-84189
35978,84190,US,Salt Lake City,UT,40.7606000000,-111.8903000000,US-UT-Salt Lake City-84190
35979,84199,US,Salt Lake City,UT,40.7606000000,-111.8903000000,US-UT-Salt Lake City-84199
35980,84201,US,Ogden,UT,41.2234000000,-111.9731000000,US-UT-Ogden-84201
35981,84244,US,Ogden,UT,41.2234000000,-111.9731000000,US-UT-Ogden-84244
35982,84301,US,Bear River City,UT,41.6108080000,-112.1334900000,US-UT-Bear River City-84301
35983,84302,US,Brigham City,UT,41.5110060000,-112.1433140000,US-UT-Brigham City-84302
35984,84304,US,Cache Junction,UT,41.8203160000,-111.9982220000,US-UT-Cache Junction-84304
35985,84305,US,Clarkston,UT,41.9023220000,-112.0192180000,US-UT-Clarkston-84305
35986,84306,US,Collinston,UT,41.7931180000,-112.0659840000,US-UT-Collinston-84306
35987,84307,US,Corinne,UT,41.3998920000,-112.4849460000,US-UT-Corinne-84307
35988,84308,US,Cornish,UT,41.9480100000,-112.0527680000,US-UT-Cornish-84308
35989,84309,US,Deweyville,UT,41.7028920000,-112.0741400000,US-UT-Deweyville-84309
35990,84310,US,Eden,UT,41.3435400000,-111.8590020000,US-UT-Eden-84310
35991,84311,US,Fielding,UT,41.8254100000,-112.1227960000,US-UT-Fielding-84311
35992,84312,US,Garland,UT,41.7938150000,-112.1863240000,US-UT-Garland-84312
35993,84313,US,Grouse Creek,UT,41.4967840000,-113.2677700000,US-UT-Grouse Creek-84313
35994,84314,US,Honeyville,UT,41.6248040000,-112.1031540000,US-UT-Honeyville-84314
35995,84315,US,Hooper,UT,41.1890980000,-112.1600150000,US-UT-Hooper-84315
35996,84316,US,Howell,UT,41.7907100000,-112.4931550000,US-UT-Howell-84316
35997,84317,US,Huntsville,UT,41.3047190000,-111.6742350000,US-UT-Huntsville-84317
35998,84318,US,Hyde Park,UT,41.8027490000,-111.8017510000,US-UT-Hyde Park-84318
35999,84319,US,Hyrum,UT,41.6134780000,-111.8440450000,US-UT-Hyrum-84319
36000,84320,US,Lewiston,UT,41.9539560000,-111.8423750000,US-UT-Lewiston-84320
36001,84321,US,Logan,UT,41.6841680000,-111.6795680000,US-UT-Logan-84321
36002,84322,US,Logan,UT,41.7415830000,-111.8104490000,US-UT-Logan-84322
