state,lat,lng
MA,42.47212,-71.667642
MA,42.240144,-71.918765
MA,42.0973,-71.6455
MA,42.0945,-71.7482
MA,42.1908,-71.779474
MA,42.039469,-71.577323
MA,42.320452,-72.129492
MA,42.330073,-71.635176
MA,42.136202,-71.642674
MA,42.268925,-72.08293
MA,42.224812,-71.68933
MA,42.162944,-71.891157
MA,42.0878,-71.6417
MA,42.121482,-71.854026
MA,42.456909,-71.890806
MA,42.201258,-71.910758
MA,42.383117,-71.961566
MA,42.28678,-71.713616
MA,42.2959,-71.7134
MA,42.067572,-72.044007
MA,42.174762,-71.679842
MA,42.4444,-71.6876
MA,42.247962,-71.990742
MA,42.439322,-71.776608
MA,42.101636,-72.079806
MA,42.176133,-71.604529
MA,42.062542,-71.64365
MA,42.058201,-71.848067
MA,42.059683,-71.936768
MA,42.2695,-71.6164
MA,42.266153,-71.60922
MA,42.2695,-71.6164
MA,42.359146,-71.782384
MA,42.227596,-72.164598
MA,42.1756,-71.8027
MA,42.125659,-71.664119
MA,42.135437,-71.755846
MA,42.2627,-71.8028
MA,42.274402,-71.847756
MA,42.244677,-71.844808
MA,42.249198,-71.764908
MA,42.288915,-71.79578
MA,42.313314,-71.796346
MA,42.225438,-71.78724
MA,42.258592,-71.803034
MA,42.28755,-71.83067
MA,42.242612,-71.810432
MA,42.235219,-71.876892
MA,42.315184,-71.934535
MA,42.2627,-71.8028
MA,42.2627,-71.8028
MA,42.2627,-71.8028
MA,42.2627,-71.8028
MA,42.2627,-71.8028
MA,42.2627,-71.8028
MA,42.323168,-71.435188
MA,42.278748,-71.443616
MA,42.3026,-71.4236
MA,42.3026,-71.4236
MA,42.3026,-71.4236
MA,42.519469,-71.428982
MA,42.491359,-71.517726
MA,42.484174,-71.439501
MA,42.25939,-71.468254
MA,42.49988,-71.275308
MA,42.463052,-71.285098
MA,42.438164,-71.60489
MA,42.53213,-71.352461
MA,42.460612,-71.364231
MA,42.291501,-71.500158
MA,42.197434,-71.441187
MA,42.127,-71.535778
MA,42.226648,-71.531466
MA,42.389119,-71.538802
MA,42.345921,-71.550943
MA,42.428493,-71.45771
MA,42.103812,-71.544618
MA,42.153808,-71.52576
MA,42.28715,-71.352332
MA,42.231344,-71.374631
MA,42.296533,-71.535209
MA,42.427159,-71.312442
MA,42.429867,-71.503594
MA,42.388828,-71.42304
MA,42.36119,-71.362933
MA,42.2376,-71.5627
MA,42.489526,-71.158884
MA,42.505988,-71.204536
MA,42.5044,-71.1964
MA,42.4793,-71.1526
MA,42.649578,-71.166028
MA,42.6585,-71.1377
MA,42.4793,-71.1526
MA,42.4793,-71.1526
MA,42.549069,-71.25588
MA,42.5586,-71.2695
MA,42.587771,-71.35176
MA,42.69256,-71.309028
MA,42.673198,-71.502242
MA,42.79519,-71.05563
MA,42.7763,-71.0778
MA,42.791176,-71.129295
MA,42.723822,-70.97822
MA,42.75092,-71.009929
MA,42.753546,-71.086654
MA,42.70594,-71.159753
MA,42.708653,-71.163282
MA,42.7069,-71.166
MA,42.691573,-71.161102
MA,42.731861,-71.18578
MA,42.673022,-71.088049
MA,42.655639,-71.303458
MA,42.624348,-71.339113
MA,42.628515,-71.296476
MA,42.6435,-71.3101
MA,42.649275,-71.346363
MA,42.83658,-71.01155
MA,42.568284,-71.29229
MA,42.631398,-71.388618
MA,42.58049,-71.087025
MA,42.5381,-71.2689
MA,42.5304,-71.2278
MA,42.533282,-71.103608
MA,42.611064,-71.231595
MA,42.658821,-71.432972
