,state,lat,lng
17590,OH,39.810877000000005,-83.171778
5561,PA,40.079104,-79.314762
18903,OH,40.408522,-84.634117
27958,KS,38.884422,-95.09181
33936,TX,31.442495,-105.67323200000001
39127,CA,39.194757,-120.83053000000001
14668,AL,34.868787,-87.809086
34380,CO,39.135838,-103.97493100000001
2931,NJ,39.926660999999996,-74.13552800000001
9172,VA,36.903942,-78.182422
194,MA,42.1476,-71.9982
25549,IL,41.900143,-87.635914
31207,OK,36.09718,-95.886556
10276,WV,39.0473,-80.493713
8931,VA,37.856054,-75.528235
17121,KY,37.49181,-82.425687
26792,MO,38.396091999999996,-90.742612
31074,OK,36.52015,-99.443489
38563,CA,37.844984000000004,-122.23843400000001
4020,NY,41.537872,-74.042369
22370,WI,43.371541,-90.42981400000001
23428,MN,46.810378,-92.071794
464,MA,42.457592,-71.05420699999999
29333,LA,30.126928000000003,-90.61980799999999
9925,WV,38.210269,-81.95519
32103,TX,32.7359,-97.1076
5931,PA,41.921692,-80.30274399999999
22848,WI,44.548256,-91.206911
21500,IA,42.839878999999996,-92.124434
23356,MN,47.029536,-92.402684
24894,MT,45.7834,-108.5003
4181,NY,43.649946,-73.927184
16492,MS,33.851222,-88.53650400000001
24955,MT,47.580178000000004,-106.85383799999998
32984,TX,30.4318,-96.7559
21072,IA,41.665822,-93.541721
37633,CA,34.160757000000004,-117.39273700000001
6137,PA,40.954997999999996,-78.36119000000001
11550,SC,34.30815,-81.12716400000001
15209,TN,35.961034000000005,-86.113628
39318,CA,40.436152,-121.843484
36696,NV,39.2794,-114.9874
32533,TX,29.746277000000003,-95.447496
4877,NY,43.070896000000005,-77.840841
19602,IN,38.870981,-86.46613599999999
7937,MD,38.781028000000006,-76.778818
6981,PA,40.2914,-75.25550799999999
14844,AL,31.8913,-85.1459
20736,MI,43.030742,-85.843707
12387,GA,34.617535,-83.775948
28352,KS,37.191762,-98.875681
11466,NC,35.6006,-82.5545
24247,SD,45.609831,-97.72179200000001
20467,MI,42.7327,-84.5558
6593,PA,40.778444,-76.21712
29893,LA,32.4865,-91.8594
20990,MI,46.075928000000005,-87.18373100000001
5859,PA,41.000984,-79.295426
32324,TX,31.109378000000003,-97.66995899999999
12736,GA,31.550003999999998,-82.462181
11854,SC,34.9389,-82.2275
29789,LA,32.322959000000004,-93.30878
39319,CA,40.341215000000005,-121.461881
23250,MN,44.823528,-93.37482
25138,MT,47.428002,-114.183315
28431,KS,37.254588,-95.783237
21433,IA,42.441537,-93.82542600000001
17714,OH,41.640274,-83.290428
5513,PA,39.809831,-79.004635
37894,CA,34.108841999999996,-119.11086200000001
32234,TX,34.154267,-99.119843
17406,KY,37.771209999999996,-87.707562
866,NH,43.614969,-71.61997099999999
8671,VA,38.483014000000004,-78.165428
21421,IA,42.392418,-94.640523
37870,CA,34.2785,-119.2925
37584,CA,34.261866,-116.900222
14558,AL,33.173002000000004,-87.6135
37414,CA,33.176821999999994,-116.74533999999998
34938,ID,43.60013,-114.251818
33880,TX,30.992834000000002,-103.660785
19429,IN,39.169109999999996,-85.31438399999999
27247,MO,39.3146,-94.2937
24096,SD,43.5503,-96.7002
29686,LA,30.601755999999998,-91.370311
20023,MI,41.949764,-83.44536
25497,IL,41.7787,-87.855306
25336,IL,41.877628,-88.019802
37856,CA,33.876666,-117.53589199999999
27438,MO,40.29252,-93.324443
664,MA,41.757258,-71.150943
484,MA,42.345189000000005,-71.10613199999999
5076,NY,42.0884,-78.1537
13059,FL,30.333657000000002,-81.58652099999999
8690,VA,38.371346,-79.038014
13648,FL,25.71946,-80.46500400000001
9358,VA,36.762398,-83.026814
23045,MN,44.543791999999996,-93.020335
1738,VT,44.702791999999995,-72.490247
13202,FL,29.8264,-85.3049
35021,ID,46.282534999999996,-116.244424
5467,PA,39.865344,-79.511736
13905,FL,27.9473,-82.4588
39640,OR,45.359444,-122.864139
2958,NJ,40.518392,-74.868072
6700,PA,40.5396,-75.4972
25164,MT,47.3895,-114.8014
1122,ME,44.0996,-70.6997
33637,TX,34.423412,-101.7349
29095,NE,41.003257,-99.703829
7100,PA,40.085044,-75.151628
7652,DC,38.8951,-77.0369
3013,NJ,40.501927,-74.428894
3653,NY,41.127965,-72.333841
20433,MI,43.161165000000004,-84.689516
31481,OK,35.492798,-94.54561700000001
12607,GA,32.70564,-83.933865
34312,CO,40.827827,-104.758836
17756,OH,41.4615,-83.9473
31138,OK,36.889808,-95.581684
12051,GA,33.9348,-83.95358900000001
6943,PA,41.616116999999996,-76.5285
8897,VA,37.651178,-77.61969
34045,CO,39.7439,-104.8706
13517,FL,25.860064,-80.271484
7840,MD,38.243081,-76.49423900000001
24082,SD,43.986393,-97.33970699999999
13984,FL,27.863507000000002,-82.710014
23278,MN,44.98,-93.2638
12179,GA,33.578556,-84.601902
29208,NE,40.524634999999996,-101.722549
14928,AL,31.146161,-85.412448
30883,OK,35.4678,-97.5164
14044,FL,27.42558,-81.343204
37223,CA,34.1869,-118.4484
10936,NC,35.4736,-81.2547
12082,GA,33.856346,-84.529486
12581,GA,32.514708,-83.100746
9766,WV,37.997692,-81.52376
37471,CA,32.7154,-117.1565
27487,MO,37.811648,-94.50893
34887,ID,42.419436,-112.13008799999999
11104,NC,35.240259,-79.315498
18175,OH,41.0816,-81.5192
8543,VA,38.3868,-77.3799
30838,OK,35.4678,-97.5164
17119,KY,37.449962,-82.311228
15633,TN,35.853558,-83.508443
5357,PA,39.795428,-80.466429
17367,KY,37.135528,-86.98109000000001
21716,IA,41.472565,-95.107723
20026,MI,41.977344,-83.29111999999999
5331,PA,40.4409,-79.9963
27145,MO,36.821478000000006,-89.782418
10405,NC,36.209184,-80.693772
1166,ME,43.6615,-70.2555
29930,LA,30.72713,-91.967508
30460,AR,36.436769,-90.337571
37547,CA,33.7216,-116.3875
28964,NE,41.706697999999996,-97.11733199999999
19967,MI,42.780028,-83.039467
36202,NM,35.576264,-106.10623000000001
34977,ID,43.743542,-112.03013500000002
23676,MN,45.541952,-96.36725799999999
26521,IL,40.000772,-90.425812
6187,PA,40.171395000000004,-77.212294
25802,IL,41.259605,-90.603488
16190,MS,34.105664000000004,-90.357569
21980,IA,41.024981,-91.921848
1366,ME,44.701881,-67.969204
37931,CA,35.931656,-120.092102
34722,WY,41.647279,-106.455455
980,NH,43.374889,-72.193528
6760,PA,40.897819,-75.436709
32645,TX,29.7632,-95.3633
17099,KY,37.2769,-82.5795
11751,SC,33.785346000000004,-79.818246
25615,IL,41.8501,-87.65
27034,MO,39.971686,-92.881468
34413,CO,39.049278,-104.89745400000001
11257,NC,35.1084,-77.0446
18532,OH,39.1616,-84.4569
3058,NY,40.7143,-74.0067
28318,KS,37.50492,-97.500927
39667,OR,45.451024,-122.69501299999999
2735,NJ,39.717098,-75.17352
12233,GA,33.151452,-84.410459
29105,NE,40.73898,-99.197949
23628,MN,44.210107,-95.396506
22214,WI,42.970983000000004,-88.158046
37604,CA,34.05186,-117.46688400000001
21096,IA,41.870132,-94.696506
15967,TN,36.273866,-85.756576
15637,TN,35.689762,-84.677578
5160,NY,42.510628000000004,-76.68294
8612,VA,38.126492,-77.441282
30515,AR,35.667746,-91.493666
11899,SC,34.99001,-80.851832
15490,TN,36.390240000000006,-82.451622
18622,OH,39.637398,-84.271815
23370,MN,47.385791,-92.44470799999999
25698,IL,41.997485,-89.213565
26185,IL,39.798256,-88.282916
33392,TX,30.760502000000002,-98.475202
13726,FL,26.120714000000003,-80.25407
21232,IA,42.218106,-93.075914
35666,AZ,33.503825,-111.784104
5348,PA,40.4409,-79.9963
27038,MO,40.410481,-92.588826
33913,TX,31.8458,-102.3673
8416,VA,38.7935,-77.2718
790,NH,43.0484,-71.2493
18521,OH,39.154838,-84.42760200000001
8920,VA,37.5944,-77.5568
15556,TN,36.182944,-82.740424
27590,MO,38.458279,-91.95357
29974,LA,31.889204,-91.865858
22489,WI,43.685239,-90.26809300000001
33552,TX,29.3627,-100.8967
25736,IL,42.302444,-89.474148
15507,TN,36.285561,-82.472923
3069,NY,40.7108,-74.0001
13920,FL,27.9473,-82.4588
3282,NY,40.9311,-73.8995
39888,OR,42.928318,-122.125018
18441,OH,39.211892999999996,-84.70172600000001
13484,FL,27.909042,-80.554082
1884,CT,41.946985,-73.308842
34545,CO,38.364028000000005,-105.143064
32865,TX,30.110404,-94.66001999999999
31103,OK,36.5484,-96.159174
10075,WV,37.696845,-81.27170799999999
34364,CO,38.847808,-105.30686299999999
22945,WI,44.6158,-89.0162
40594,WA,47.544081,-119.320186
37942,CA,35.3452,-118.87
14858,AL,32.3667,-86.3002
15783,TN,35.1497,-90.0487
40935,AK,63.333045,-170.271064
19770,IN,39.7614,-87.1027
5582,PA,40.17548,-79.22825999999999
23302,MN,45.0103,-93.6552
27982,KS,39.199672,-95.18262800000001
8141,MD,39.343076,-76.684788
38604,CA,37.9736,-122.5308
5980,PA,42.1172,-80.0703
20476,MI,42.7327,-84.5558
31756,TX,33.315414000000004,-96.393493
5838,PA,40.925986,-79.571528
5485,PA,40.117353,-79.763192
6897,PA,41.19495,-76.199225
18765,OH,39.305768,-83.231125
13150,FL,30.268424,-83.615742
3662,NY,40.808294000000004,-72.85512800000001
30944,OK,34.452727,-97.85221700000001
36560,NV,35.92822,-114.83265800000001
31380,OK,34.32601,-94.830639
9769,WV,38.0399,-81.85300000000001
35535,AZ,33.46334,-111.984771
4107,NY,41.667259,-74.617885
15895,TN,35.789998,-88.034143
19837,IN,40.107521000000006,-87.411428
2876,NJ,40.282616,-74.620518
21413,IA,42.885417,-94.383877
24271,SD,44.486957000000004,-99.886388
39379,CA,40.556326,-120.67791000000001
30383,AR,34.925191999999996,-90.43991199999999
15046,AL,31.210046999999996,-87.973292
6826,PA,41.484624,-75.588576
28290,KS,39.69728,-97.85771700000001
35299,UT,40.7606,-111.8903
35322,UT,40.7606,-111.8903
12833,GA,31.496738,-84.297764
7881,MD,39.0347,-76.9076
22446,WI,43.32196,-89.354137
4457,NY,42.965371000000005,-75.58651400000001
26810,MO,38.421496000000005,-91.30099200000001
13497,FL,27.592104,-80.385349
34898,ID,42.677234999999996,-112.183474
12250,GA,33.725871999999995,-84.46876400000001
7954,MD,38.8159,-76.7498
13618,FL,25.896634,-80.131287
28707,NE,41.469588,-96.009046
18614,OH,40.434108,-84.054345
28298,KS,37.764594,-97.64407
9444,VA,37.805105,-79.84736600000001
39671,OR,45.446863,-122.79556799999999
7752,DC,38.8951,-77.0369
5986,PA,40.511291,-78.366292
35943,AZ,35.212771000000004,-111.894604
28653,KS,37.606044,-100.23364699999999
5729,PA,40.489839,-78.763488
15129,AL,32.791824,-86.856422
11472,NC,35.073862,-83.705197
1698,VT,44.2388,-73.1483
39340,CA,40.517957,-121.85759399999999
26563,IL,40.128556,-90.579777
39858,OR,43.576997999999996,-123.25484499999999
821,NH,42.988367,-71.465548
36649,NV,36.033466,-115.212051
21149,IA,41.608069,-92.904712
23971,MN,47.876083,-95.612454
22874,WI,45.6026,-91.6718
40047,WA,47.7602,-122.2044
28907,NE,40.646221999999995,-96.162256
88,MA,42.1015,-72.5905
24224,SD,45.720298,-98.507473
25663,IL,40.824061,-87.590763
23618,MN,43.761241999999996,-95.933396
22910,WI,45.817356,-91.141973
29196,NE,40.262597,-100.256507
21862,IA,41.741682,-91.968127
20152,MI,42.749776000000004,-83.535767
18686,OH,39.769427,-84.07565100000001
38429,CA,38.5819,-121.4935
38529,CA,37.687825,-122.15649099999999
21599,IA,42.710513,-96.524534
21837,IA,43.20319,-91.952924
33685,TX,35.1906,-101.8154
5929,PA,41.740970000000004,-80.380166
14218,FL,29.051363000000002,-82.040487
38933,CA,38.747328,-122.88333200000001
33196,TX,29.477603000000002,-98.346556
8840,VA,37.347684,-76.280613
18421,OH,40.752368,-82.591484
33732,TX,34.471438,-100.681125
16135,MS,34.774514,-88.578644
16971,KY,38.5818,-84.1569
10951,NC,35.256957,-81.733427
22716,WI,45.508703999999994,-90.85973
17678,OH,40.730855,-83.263545
10853,NC,36.136112,-75.729414
33943,TX,31.57658,-106.259902
19712,IN,38.165822,-87.790724
31133,OK,36.16952,-95.527186
16707,KY,38.2545,-85.7595
8033,MD,39.036134000000004,-76.988801
4653,NY,42.356904,-74.65405
25489,IL,41.752315,-88.019808
29292,NE,42.630023,-102.731912
85,MA,42.095804,-72.485598
7539,VA,38.746216,-77.489106
11947,SC,33.304614,-81.836434
12839,GA,31.009234000000003,-83.87255400000001
33129,TX,29.758315999999997,-98.176275
24612,ND,47.305142,-98.17186
36672,NV,36.1753,-115.1364
